sample,group,replicate,number_of_days,time
0-0909a,Control,a,0,Early
0-0909b,Control,b,0,Early
0-0909c,Control,c,0,Early
0-0915a,Control,a,06,Early
0-0915b,Control,b,06,Early
0-0915c,Control,c,06,Early
0-0922a,Control,a,13,Early
0-0922b,Control,b,13,Early
0-0922c,Control,c,13,Early
0-0929a,Control,a,20,Middle
0-0929b,Control,b,20,Middle
0-0929c,Control,c,20,Middle
0-1006a,Control,a,27,Middle
0-1006b,Control,b,27,Middle
0-1006c,Control,c,27,Middle
0-1013a,Control,a,34,Middle
0-1013b,Control,b,34,Middle
0-1013c,Control,c,34,Middle
0-1020a,Control,a,41,Late
0-1020b,Control,b,41,Late
0-1020c,Control,c,41,Late
0-1027a,Control,a,48,Late
0-1027b,Control,b,48,Late
0-1027c,Control,c,48,Late
0-1103a,Control,a,55,Late
0-1103b,Control,b,55,Late
0-1103c,Control,c,55,Late
blanc,Blanc,null,null,
blank10,Blank,null,null,
blank11,Blank,null,null,
blank12,Blank,null,null,
blank13,Blank,null,null,
blank14,Blank,null,null,
blank3,Blank,null,null,
blank4,Blank,null,null,
blank5,Blank,null,null,
blank6,Blank,null,null,
blank7,Blank,null,null,
blank8,Blank,null,null,
blank9,Blank,null,null,
c-0909a,Carbonate,a,0,Early
c-0909b,Carbonate,b,0,Early
c-0909c,Carbonate,c,0,Early
c-0915a,Carbonate,a,06,Early
c-0915b,Carbonate,b,06,Early
c-0915c,Carbonate,c,06,Early
c-0922a,Carbonate,a,13,Early
c-0922b,Carbonate,b,13,Early
c-0922c,Carbonate,c,13,Early
c-0929a,Carbonate,a,20,Middle
c-0929b,Carbonate,b,20,Middle
c-0929c,Carbonate,c,20,Middle
c-1006a,Carbonate,a,27,Middle
c-1006b,Carbonate,b,27,Middle
c-1006c,Carbonate,c,27,Middle
c-1013a,Carbonate,a,34,Middle
c-1013b,Carbonate,b,34,Middle
c-1013c,Carbonate,c,34,Middle
c-1020a,Carbonate,a,41,Late
c-1020b,Carbonate,b,41,Late
c-1020c,Carbonate,c,41,Late
c-1027a,Carbonate,a,48,Late
c-1027b,Carbonate,b,48,Late
c-1027c,Carbonate,c,48,Late
c-1103a,Carbonate,a,55,Late
c-1103b,Carbonate,b,55,Late
c-1103c,Carbonate,c,55,Late
cl-0909a,Chloride,a,0,Early
cl-0909b,Chloride,b,0,Early
cl-0909c,Chloride,c,0,Early
cl-0915a,Chloride,a,06,Early
cl-0915b,Chloride,b,06,Early
cl-0915c,Chloride,c,06,Early
cl-0922a,Chloride,a,13,Early
cl-0922b,Chloride,b,13,Early
cl-0922c,Chloride,c,13,Early
cl-0929a,Chloride,a,20,Middle
cl-0929b,Chloride,b,20,Middle
cl-0929c,Chloride,c,20,Middle
cl-1006a,Chloride,a,27,Middle
cl-1006b,Chloride,b,27,Middle
cl-1006c,Chloride,c,27,Middle
cl-1013a,Chloride,a,34,Middle
cl-1013b,Chloride,b,34,Middle
cl-1013c,Chloride,c,34,Middle
cl-1020a,Chloride,a,41,Late
cl-1020b,Chloride,b,41,Late
cl-1020c,Chloride,c,41,Late
cl-1027a,Chloride,a,48,Late
cl-1027b,Chloride,b,48,Late
cl-1027c,Chloride,c,48,Late
cl-1103a,Chloride,a,55,Late
cl-1103b,Chloride,b,55,Late
cl-1103c,Chloride,c,55,Late
p-0909a,Phosphate,a,0,Early
p-0909b,Phosphate,b,0,Early
p-0909c,Phosphate,c,0,Early
p-0915a,Phosphate,a,06,Early
p-0915b,Phosphate,b,06,Early
p-0915c,Phosphate,c,06,Early
p-0922a,Phosphate,a,13,Early
p-0922b,Phosphate,b,13,Early
p-0922c,Phosphate,c,13,Early
p-0929a,Phosphate,a,20,Middle
p-0929b,Phosphate,b,20,Middle
p-0929c,Phosphate,c,20,Middle
p-1006a,Phosphate,a,27,Middle
p-1006b,Phosphate,b,27,Middle
p-1006c,Phosphate,c,27,Middle
p-1013a,Phosphate,a,34,Middle
p-1013b,Phosphate,b,34,Middle
p-1013c,Phosphate,c,34,Middle
p-1020a,Phosphate,a,41,Late
p-1020b,Phosphate,b,41,Late
p-1020c,Phosphate,c,41,Late
p-1027a,Phosphate,a,48,Late
p-1027b,Phosphate,b,48,Late
p-1027c,Phosphate,c,48,Late
p-1103a,Phosphate,a,55,Late
p-1103b,Phosphate,b,55,Late
p-1103c,Phosphate,c,55,Late
